Appointment_ID,Date,Store_ID,Customer_ID,Service_ID,Appointment_Status,Converted_To_Sale,Booking_Channel,Wait_Days
A0000029,2025-07-13,S1075,C017267,SV05,Rescheduled,No,Online,8
A0000030,2025-11-16,S1100,C004614,SV02,Completed,No,Phone,7
A0000031,2026-11-18,S1110,C018561,SV06,Completed,No,Online,2
A0000032,2026-11-27,S1062,C012631,SV04,Completed,No,In Store,16
A0000033,2026-02-25,S1058,C018377,SV03,Completed,Yes,In Store,4
A0000034,2025-11-03,S1096,C004362,SV08,Completed,Yes,Online,7
A0000035,2025-09-13,S1056,C008294,SV04,Completed,No,Phone,4
A0000036,2026-10-22,S1091,C001893,SV01,Completed,No,Online,12
A0000037,2025-09-27,S1018,C007998,SV01,Completed,No,Phone,6
A0000038,2026-12-08,S1055,C003895,SV01,Completed,Yes,Online,17
A0000039,2025-11-29,S1040,C019724,SV03,Completed,Yes,Phone,20
A0000040,2025-03-23,S1043,C016928,SV01,Completed,No,Phone,2
A0000041,2025-10-22,S1098,C018303,SV07,No-show,No,Online,17
A0000042,2026-11-06,S1117,C002673,SV02,Completed,Yes,Online,20
A0000043,2025-10-11,S1075,C010412,SV01,Completed,Yes,Phone,18
A0000044,2026-06-11,S1054,C015057,SV01,Completed,No,Online,0
A0000045,2026-12-27,S1078,C017188,SV03,Completed,No,In Store,3
A0000046,2025-03-11,S1017,C017940,SV02,Completed,Yes,Online,5
A0000047,2026-10-09,S1093,C005850,SV05,Completed,Yes,Phone,11
A0000048,2026-06-16,S1016,C006021,SV01,Completed,Yes,Online,10
A0000049,2026-04-26,S1111,C007001,SV01,Completed,Yes,Online,3
A0000050,2025-12-27,S1047,C016798,SV02,Completed,Yes,Online,13
A0000051,2026-05-15,S1053,C016707,SV06,Completed,Yes,Online,7
A0000052,2025-04-13,S1051,C005464,SV02,Completed,No,In Store,1
A0000053,2026-11-10,S1033,C013529,SV01,Completed,No,Online,19
A0000054,2025-06-23,S1017,C007360,SV01,Cancelled,No,Online,18
A0000055,2025-04-22,S1078,C008568,SV03,Rescheduled,No,Online,16
A0000056,2026-06-02,S1055,C017248,SV01,Completed,Yes,Online,20
A0000057,2025-02-26,S1086,C014297,SV03,Completed,No,In Store,3
A0000058,2025-08-21,S1027,C013017,SV05,Completed,Yes,In Store,14
A0000059,2025-06-28,S1111,C001930,SV05,Completed,Yes,Online,15
A0000060,2026-11-26,S1112,C010867,SV06,Completed,No,Phone,10
A0000061,2025-07-04,S1069,C003875,SV04,Completed,No,Phone,20
A0000062,2026-08-22,S1077,C001348,SV08,Completed,No,In Store,0
A0000063,2026-02-28,S1051,C015046,SV04,Completed,Yes,Online,17
A0000064,2026-02-09,S1052,C019135,SV05,Completed,Yes,In Store,11
A0000065,2026-05-17,S1024,C002162,SV06,Completed,No,Online,15
A0000066,2026-04-02,S1086,C000151,SV01,Completed,Yes,Online,15
A0000067,2025-07-09,S1121,C003398,SV02,Completed,No,Online,11
A0000068,2026-11-02,S1112,C010040,SV05,Completed,Yes,Phone,5
A0000069,2025-01-27,S1092,C008010,SV06,No-show,No,Phone,16
A0000070,2025-08-23,S1005,C015350,SV02,Cancelled,No,Phone,2
A0000071,2025-08-11,S1022,C009304,SV03,Completed,No,In Store,15
A0000072,2026-08-14,S1084,C009081,SV06,Completed,No,Online,2
A0000073,2025-12-20,S1004,C007911,SV06,No-show,No,Online,16
A0000074,2025-11-24,S1044,C001129,SV06,Completed,No,In Store,1
A0000075,2025-01-11,S1077,C003857,SV02,Completed,Yes,In Store,14
A0000076,2026-09-29,S1076,C015065,SV03,Rescheduled,No,Online,18
A0000077,2025-10-24,S1110,C007479,SV07,Cancelled,No,In Store,12
A0000078,2025-02-17,S1073,C018621,SV01,Cancelled,No,Phone,9
A0000079,2025-07-14,S1043,C015049,SV03,Completed,No,Phone,0
A0000080,2026-06-09,S1011,C018191,SV08,Completed,Yes,Online,1
A0000081,2025-01-16,S1066,C002087,SV01,Completed,Yes,Online,17
A0000082,2026-08-14,S1082,C014457,SV07,Rescheduled,No,Online,4
A0000083,2025-12-03,S1106,C006128,SV02,Completed,No,In Store,2
A0000084,2026-03-24,S1022,C008437,SV01,Completed,Yes,In Store,4
A0000085,2026-06-28,S1118,C008789,SV02,Completed,No,In Store,21
A0000086,2025-08-03,S1099,C006117,SV01,Cancelled,No,In Store,8
A0000087,2026-01-23,S1075,C009755,SV08,Completed,Yes,In Store,19
A0000088,2025-04-19,S1025,C005378,SV01,Completed,No,In Store,6
A0000089,2026-01-04,S1026,C003378,SV05,Completed,Yes,Online,19
A0000090,2026-06-24,S1044,C015846,SV06,Completed,No,Online,10
A0000091,2025-04-19,S1119,C013592,SV01,Completed,Yes,In Store,6
A0000092,2025-04-04,S1100,C000112,SV07,No-show,No,Online,8
A0000093,2025-03-20,S1034,C007366,SV03,Completed,No,In Store,3
A0000094,2026-09-09,S1031,C012001,SV07,Completed,Yes,Online,18
A0000095,2026-10-05,S1010,C018654,SV01,Completed,No,Online,6
A0000096,2026-01-01,S1075,C001679,SV02,Completed,No,Phone,14
A0000097,2026-02-15,S1059,C019407,SV01,Completed,Yes,Phone,0
A0000098,2025-10-06,S1003,C012938,SV02,Completed,Yes,Online,12
A0000099,2026-01-10,S1086,C008761,SV02,Completed,No,Online,21
A0000100,2025-06-22,S1010,C000173,SV02,No-show,No,Online,6
A0000101,2025-12-09,S1011,C019901,SV04,Completed,Yes,Online,4
A0000102,2025-01-12,S1111,C000931,SV07,Cancelled,No,Phone,15
A0000103,2026-01-14,S1116,C000249,SV04,Rescheduled,No,Online,10
A0000104,2026-10-23,S1007,C015763,SV06,Completed,No,Online,7
A0000105,2026-05-30,S1106,C010214,SV04,Cancelled,No,Phone,18
A0000106,2026-03-18,S1031,C009453,SV06,Completed,No,Online,6
A0000107,2025-06-23,S1063,C007840,SV03,Completed,Yes,Online,17
A0000108,2026-05-27,S1103,C013897,SV01,Completed,No,Phone,13
A0000109,2026-11-11,S1074,C012398,SV01,Completed,No,Phone,14
A0000110,2026-12-12,S1070,C011482,SV02,Cancelled,No,In Store,6
A0000111,2026-11-24,S1068,C000211,SV01,Completed,Yes,In Store,12
A0000112,2025-06-09,S1033,C015887,SV01,Completed,Yes,Phone,12
A0000113,2025-06-10,S1034,C001833,SV08,Completed,No,Online,0
A0000114,2025-02-15,S1030,C019395,SV02,Completed,No,Phone,8
A0000115,2026-10-25,S1104,C017050,SV08,Completed,No,In Store,7
A0000116,2025-12-20,S1033,C003320,SV07,Cancelled,No,Online,13
A0000117,2026-02-25,S1104,C008038,SV04,Completed,No,Phone,3
A0000118,2025-11-04,S1040,C009140,SV02,Completed,No,Phone,12
A0000119,2026-05-03,S1089,C002733,SV02,Completed,Yes,Phone,9
A0000120,2025-02-16,S1039,C009356,SV01,Completed,No,Online,13
A0000121,2025-08-27,S1031,C003282,SV01,Completed,No,Online,3
A0000122,2025-12-11,S1057,C005724,SV02,Completed,Yes,Online,10
A0000123,2025-04-21,S1096,C015257,SV07,Completed,Yes,Online,5
A0000124,2026-01-31,S1049,C010594,SV07,Completed,No,Online,16
A0000125,2026-05-22,S1122,C003343,SV01,Cancelled,No,Phone,9
A0000126,2025-03-27,S1096,C002950,SV04,Completed,No,In Store,21
A0000127,2026-08-28,S1037,C003599,SV06,Cancelled,No,Phone,1
A0000128,2026-05-23,S1103,C018779,SV04,Completed,No,Online,14
A0000129,2025-02-23,S1085,C005084,SV01,Completed,No,In Store,3
A0000130,2025-09-10,S1065,C003891,SV07,Completed,No,In Store,16
A0000131,2026-06-30,S1047,C009155,SV08,No-show,No,In Store,14
A0000132,2026-02-16,S1004,C014362,SV02,Completed,No,In Store,3
A0000133,2025-01-17,S1113,C008600,SV01,Rescheduled,No,In Store,1
A0000134,2026-04-11,S1071,C003633,SV01,Completed,No,Online,21
A0000135,2025-08-03,S1110,C007566,SV07,Completed,No,Phone,12
A0000136,2025-09-19,S1044,C005660,SV05,No-show,No,In Store,6
A0000137,2025-02-07,S1109,C003176,SV02,No-show,No,Phone,7
A0000138,2026-06-21,S1026,C016592,SV03,Completed,Yes,In Store,11
A0000139,2025-07-26,S1087,C017521,SV06,Completed,No,In Store,9
A0000140,2026-04-24,S1062,C016761,SV02,Completed,No,In Store,18
A0000141,2025-11-12,S1070,C015835,SV06,Cancelled,No,Online,8
A0000142,2025-02-12,S1122,C001086,SV04,Completed,No,Online,15
A0000143,2025-03-21,S1041,C001010,SV05,Rescheduled,No,Online,21
A0000144,2025-04-08,S1037,C006491,SV01,Completed,No,Online,10
A0000145,2025-01-23,S1077,C002714,SV03,Cancelled,No,Online,0
A0000146,2025-02-02,S1014,C010319,SV07,Completed,Yes,Phone,17
A0000147,2025-01-19,S1094,C013682,SV07,Completed,No,Online,13
A0000148,2026-09-27,S1014,C015953,SV07,Completed,No,Online,21
A0000149,2026-11-08,S1112,C002323,SV03,Completed,Yes,In Store,11
A0000150,2025-09-12,S1040,C002407,SV07,No-show,No,In Store,21
A0000151,2025-03-02,S1078,C012773,SV03,Completed,Yes,Phone,9
A0000152,2026-01-23,S1070,C007958,SV01,Completed,No,Online,14
A0000153,2026-06-03,S1068,C017179,SV05,Completed,Yes,In Store,13
A0000154,2026-01-21,S1016,C017354,SV03,Completed,No,In Store,0
A0000155,2025-10-27,S1051,C017660,SV06,Cancelled,No,Phone,9
A0000156,2025-12-12,S1092,C015028,SV02,Completed,No,Online,17
A0000157,2025-03-14,S1061,C000017,SV05,Completed,Yes,Phone,11
A0000158,2025-10-19,S1115,C001408,SV02,Completed,No,In Store,12
A0000159,2025-03-21,S1080,C013203,SV05,Rescheduled,No,Phone,8
A0000160,2025-09-10,S1122,C011263,SV02,Completed,Yes,Online,15
A0000161,2025-03-28,S1089,C014448,SV03,Completed,No,In Store,18
A0000162,2025-07-09,S1068,C014269,SV04,Completed,Yes,Online,11
A0000163,2025-05-28,S1016,C007561,SV01,Completed,No,In Store,2
A0000164,2025-06-22,S1013,C014425,SV03,No-show,No,Online,13
A0000165,2025-04-23,S1026,C008298,SV05,Completed,No,In Store,1
A0000166,2026-04-17,S1102,C011926,SV02,Completed,Yes,Online,14
A0000167,2025-07-22,S1051,C003646,SV06,Completed,No,In Store,15
A0000168,2026-05-28,S1107,C007564,SV04,Completed,Yes,Online,8
A0000169,2026-01-06,S1060,C003976,SV04,Completed,Yes,Online,9
A0000170,2025-06-27,S1036,C017614,SV04,Cancelled,No,Online,6
A0000171,2025-05-26,S1100,C017782,SV05,Completed,Yes,In Store,9
A0000172,2025-04-10,S1072,C008677,SV05,Completed,No,Phone,0
A0000173,2026-09-26,S1016,C009618,SV02,Completed,No,Online,8
A0000174,2026-07-18,S1038,C007240,SV05,Completed,No,Online,1
A0000175,2026-02-24,S1018,C018794,SV03,Completed,No,Online,19
A0000176,2025-02-23,S1084,C009290,SV02,Rescheduled,No,Online,16
A0000177,2026-02-21,S1089,C016561,SV07,Completed,No,Online,18
A0000178,2026-02-07,S1093,C017007,SV03,Completed,No,Online,1
A0000179,2026-12-02,S1033,C011006,SV03,Completed,No,Online,17
A0000180,2025-12-21,S1042,C009261,SV01,Completed,Yes,In Store,13
A0000181,2025-03-17,S1052,C016690,SV07,Completed,Yes,Online,19
A0000182,2026-05-24,S1003,C013845,SV05,Completed,No,Online,7
A0000183,2025-11-30,S1110,C001461,SV07,Cancelled,No,Online,11
A0000184,2026-08-05,S1049,C014706,SV08,Cancelled,No,Online,5
A0000185,2026-12-22,S1025,C012359,SV01,Completed,No,Online,8
A0000186,2026-11-05,S1027,C013778,SV06,Completed,Yes,Online,16
A0000187,2026-03-07,S1007,C003450,SV04,Rescheduled,No,In Store,19
A0000188,2025-07-19,S1052,C014131,SV02,Completed,Yes,Online,15
A0000189,2026-02-08,S1120,C009620,SV08,Completed,Yes,In Store,17
A0000190,2025-01-29,S1120,C007295,SV01,Cancelled,No,Phone,1
A0000191,2026-04-22,S1041,C013663,SV01,Completed,No,Online,16
A0000192,2026-02-20,S1005,C000319,SV01,Completed,No,Online,13
A0000193,2026-09-16,S1017,C014143,SV04,Completed,No,Online,9
A0000194,2025-10-07,S1041,C015287,SV06,Completed,No,Phone,11
A0000195,2026-07-04,S1077,C009681,SV03,Completed,No,Online,14
A0000196,2025-11-21,S1061,C011711,SV03,Completed,Yes,In Store,4
A0000197,2026-02-16,S1086,C001736,SV03,Completed,No,In Store,17
A0000198,2026-09-06,S1059,C018107,SV01,Completed,No,Online,4
A0000199,2025-09-03,S1068,C005161,SV06,Completed,Yes,Online,7
A0000200,2025-09-21,S1026,C013781,SV02,No-show,No,Online,16
A0000201,2025-11-19,S1060,C015887,SV01,Completed,No,Phone,14
A0000202,2026-01-29,S1095,C001041,SV01,Completed,Yes,Online,15
A0000203,2025-02-07,S1021,C012675,SV02,Completed,Yes,Online,6
A0000204,2025-04-10,S1036,C014203,SV01,Completed,No,Online,1
A0000205,2026-01-24,S1078,C007756,SV07,Rescheduled,No,Phone,16
A0000206,2026-08-02,S1021,C005443,SV07,Completed,No,In Store,1
A0000207,2025-02-15,S1060,C006935,SV02,Cancelled,No,Phone,11
A0000208,2025-12-24,S1105,C019533,SV02,Completed,No,Online,3
A0000209,2026-08-25,S1035,C007904,SV07,Cancelled,No,Online,12
A0000210,2025-08-27,S1098,C010257,SV01,Completed,Yes,Phone,6
A0000211,2026-12-05,S1058,C015355,SV02,Completed,No,Online,9
A0000212,2025-11-16,S1070,C009463,SV01,Completed,Yes,Online,13
A0000213,2026-05-21,S1059,C002007,SV02,Completed,No,In Store,13
A0000214,2025-06-25,S1028,C009006,SV01,Cancelled,No,Online,21
A0000215,2026-10-13,S1100,C006242,SV02,No-show,No,Online,17
A0000216,2026-02-15,S1116,C004361,SV05,Completed,Yes,In Store,1
A0000217,2025-12-06,S1072,C018303,SV04,Rescheduled,No,Online,7
A0000218,2025-06-14,S1035,C008293,SV01,Completed,No,Online,3
A0000219,2026-07-23,S1045,C006345,SV07,Completed,No,Online,9
A0000220,2025-09-19,S1059,C008498,SV04,Completed,Yes,In Store,20
A0000221,2026-11-24,S1047,C001630,SV01,Completed,Yes,Phone,1
A0000222,2025-03-05,S1110,C018082,SV01,Completed,No,Online,16
A0000223,2026-12-27,S1030,C007744,SV01,Completed,Yes,Online,1
A0000224,2025-08-08,S1093,C000531,SV01,Completed,Yes,Phone,10
A0000225,2025-01-07,S1075,C014857,SV02,Completed,No,Online,20
A0000226,2025-10-06,S1059,C013021,SV06,Completed,Yes,Phone,18
A0000227,2025-08-30,S1098,C009266,SV01,Rescheduled,No,Online,10
A0000228,2026-07-23,S1056,C007016,SV04,Completed,No,In Store,13
A0000229,2026-12-14,S1023,C012423,SV02,Completed,Yes,Online,5
A0000230,2026-04-19,S1036,C008392,SV04,Completed,No,Online,9
A0000231,2026-03-24,S1097,C002160,SV02,Completed,No,In Store,1
A0000232,2025-03-28,S1097,C018802,SV02,Completed,No,In Store,2
A0000233,2025-06-28,S1085,C000057,SV05,Completed,Yes,Phone,6
A0000234,2026-03-16,S1116,C007944,SV03,Completed,Yes,Phone,4
A0000235,2026-05-09,S1088,C008475,SV01,Completed,No,Online,10
A0000236,2025-11-20,S1106,C018370,SV01,Completed,No,Online,7
A0000237,2026-08-30,S1035,C015821,SV08,Completed,No,In Store,4
A0000238,2025-10-31,S1056,C016728,SV03,Rescheduled,No,Online,0
A0000239,2026-09-29,S1081,C019881,SV06,Rescheduled,No,Phone,19
A0000240,2025-03-17,S1118,C008868,SV01,Completed,Yes,Online,16
A0000241,2026-09-23,S1089,C009255,SV02,Completed,No,Online,2
A0000242,2026-03-03,S1002,C018705,SV01,Completed,No,Online,7
A0000243,2026-11-30,S1088,C009916,SV05,Completed,Yes,In Store,15
A0000244,2025-05-08,S1039,C010400,SV02,Completed,Yes,In Store,16
A0000245,2025-03-27,S1018,C008020,SV04,Completed,No,Online,18
A0000246,2025-07-23,S1097,C017487,SV03,Completed,Yes,Online,21
A0000247,2026-02-22,S1086,C018795,SV07,Completed,Yes,Online,10
A0000248,2026-08-22,S1117,C009197,SV02,Completed,Yes,In Store,16
A0000249,2026-07-30,S1064,C009394,SV02,No-show,No,Online,6
A0000250,2025-02-11,S1119,C018368,SV02,Completed,Yes,In Store,4
A0000251,2025-11-25,S1091,C004728,SV07,No-show,No,Phone,19
A0000252,2026-07-24,S1063,C018219,SV04,Cancelled,No,Online,9
A0000253,2026-07-04,S1118,C019811,SV07,Completed,No,Online,15
A0000254,2025-10-12,S1117,C005277,SV01,Completed,Yes,Online,12
A0000255,2025-10-23,S1088,C012050,SV04,Cancelled,No,Online,10
A0000256,2025-07-27,S1074,C010870,SV01,Completed,No,In Store,3
A0000257,2025-07-22,S1024,C012523,SV08,Completed,Yes,Online,6
A0000258,2026-01-04,S1091,C019927,SV05,Completed,No,In Store,13
A0000259,2025-12-03,S1052,C010784,SV03,Completed,No,Online,12
A0000260,2025-07-13,S1068,C010397,SV04,Completed,Yes,Online,11
A0000261,2025-02-03,S1030,C005826,SV01,Completed,Yes,Phone,12
A0000262,2026-09-08,S1036,C011205,SV04,Completed,Yes,In Store,21
A0000263,2026-08-14,S1016,C014917,SV04,Completed,Yes,In Store,13
A0000264,2025-02-02,S1023,C000211,SV04,Completed,Yes,Online,19
A0000265,2026-03-10,S1041,C013477,SV01,Completed,No,Online,11
A0000266,2026-05-05,S1079,C009033,SV02,Completed,No,Online,1
A0000267,2026-02-13,S1044,C016965,SV01,Completed,No,Phone,17
A0000268,2026-08-12,S1106,C001761,SV03,Completed,Yes,In Store,1
A0000269,2026-04-08,S1084,C002659,SV04,Cancelled,No,Online,5
A0000270,2025-06-06,S1076,C016183,SV02,Completed,No,In Store,6
A0000271,2025-09-26,S1065,C011652,SV06,Cancelled,No,Online,6
A0000272,2026-07-17,S1071,C019582,SV04,Completed,No,In Store,10
A0000273,2026-12-26,S1073,C000466,SV04,Completed,Yes,Phone,15
A0000274,2025-11-26,S1053,C001762,SV04,Completed,Yes,Online,1
A0000275,2025-10-17,S1053,C003522,SV01,Completed,Yes,Online,10
A0000276,2026-12-23,S1046,C009519,SV01,Completed,No,Online,19
A0000277,2025-06-21,S1074,C003348,SV07,Completed,Yes,Online,13
A0000278,2025-10-03,S1114,C005135,SV02,Cancelled,No,Phone,13
A0000279,2026-08-27,S1059,C014620,SV02,Completed,No,Online,20
A0000280,2025-08-24,S1009,C015780,SV02,Completed,No,Online,21
A0000281,2026-04-23,S1095,C006076,SV01,Completed,No,In Store,3
A0000282,2026-10-14,S1070,C011946,SV06,Completed,Yes,Phone,1
A0000283,2026-12-26,S1010,C002960,SV04,Completed,No,Online,17
A0000284,2026-04-27,S1018,C003890,SV04,Completed,Yes,In Store,15
A0000285,2025-03-19,S1098,C011208,SV01,Rescheduled,No,Online,7
A0000286,2026-07-18,S1071,C007857,SV04,Completed,Yes,Phone,10
A0000287,2026-10-24,S1051,C002656,SV06,Completed,No,In Store,8
A0000288,2025-10-31,S1044,C017358,SV01,No-show,No,In Store,18
A0000289,2026-07-05,S1106,C001442,SV02,Completed,Yes,Online,9
A0000290,2025-12-26,S1012,C017148,SV06,Completed,Yes,Online,4
A0000291,2026-12-22,S1044,C015983,SV01,Completed,Yes,In Store,9
A0000292,2026-12-19,S1008,C017797,SV03,Completed,Yes,Phone,18
A0000293,2026-03-19,S1110,C004963,SV01,Completed,Yes,In Store,12
A0000294,2026-01-30,S1098,C014591,SV08,Completed,No,Online,13
A0000295,2026-06-10,S1033,C014230,SV02,Cancelled,No,Online,10
A0000296,2026-06-30,S1006,C005098,SV02,Cancelled,No,Phone,7
A0000297,2025-05-12,S1024,C008535,SV05,Completed,Yes,Online,15
A0000298,2026-12-16,S1119,C006314,SV06,Completed,Yes,Online,21
A0000299,2026-04-21,S1112,C011316,SV07,Completed,No,Online,15
A0000300,2026-06-15,S1040,C017691,SV03,No-show,No,Online,10
A0000301,2025-04-11,S1034,C008027,SV01,Completed,Yes,Phone,21
A0000302,2026-06-06,S1120,C005013,SV07,Completed,No,Online,10
A0000303,2025-06-02,S1121,C008026,SV04,Completed,No,Phone,14
A0000304,2025-03-26,S1050,C004533,SV01,Rescheduled,No,Online,2
A0000305,2026-08-28,S1120,C007676,SV01,Completed,No,In Store,18
A0000306,2025-06-04,S1097,C017766,SV07,Cancelled,No,Phone,14
A0000307,2025-07-29,S1021,C018404,SV02,No-show,No,In Store,3
A0000308,2026-07-25,S1022,C005749,SV02,Completed,Yes,Online,16
A0000309,2025-10-18,S1027,C005945,SV02,Completed,No,Phone,2
A0000310,2026-12-19,S1025,C013006,SV01,No-show,No,Online,14
A0000311,2026-01-15,S1045,C012541,SV08,Completed,No,Online,10
A0000312,2025-11-13,S1075,C002361,SV04,Completed,Yes,Online,12
A0000313,2026-05-07,S1010,C006330,SV07,Completed,Yes,In Store,9
A0000314,2026-07-10,S1116,C006021,SV01,Completed,No,Phone,4
A0000315,2026-02-26,S1025,C007719,SV01,Cancelled,No,Phone,6
A0000316,2025-01-09,S1111,C014054,SV06,Completed,Yes,Phone,18
A0000317,2025-05-19,S1012,C010534,SV01,Completed,No,Online,12
A0000318,2025-04-01,S1094,C017500,SV02,Completed,No,In Store,2
A0000319,2026-02-10,S1064,C006179,SV07,Completed,No,Online,9
A0000320,2025-02-27,S1099,C000286,SV01,Completed,Yes,In Store,11
A0000321,2026-09-19,S1043,C014786,SV05,Cancelled,No,Online,17
A0000322,2025-03-19,S1122,C004873,SV01,Completed,Yes,Phone,1
A0000323,2026-03-18,S1092,C015523,SV01,Completed,No,Online,11
A0000324,2025-02-12,S1093,C019048,SV03,Completed,Yes,Online,11
A0000325,2026-09-28,S1034,C018928,SV04,Completed,No,Online,10
A0000326,2025-01-19,S1047,C010041,SV02,Completed,Yes,Online,7
A0000327,2026-05-19,S1011,C016470,SV07,Cancelled,No,Online,11
A0000328,2026-05-05,S1040,C014712,SV07,Completed,No,Online,4
A0000329,2026-01-12,S1031,C001409,SV01,Completed,Yes,Online,11
A0000330,2025-11-18,S1062,C017664,SV07,Completed,Yes,Phone,19
A0000331,2026-11-04,S1092,C011828,SV02,Completed,No,Phone,3
A0000332,2026-01-31,S1115,C001201,SV01,Cancelled,No,Phone,2
A0000333,2025-04-22,S1059,C012613,SV01,Completed,Yes,Phone,12
A0000334,2025-09-06,S1002,C005532,SV06,Completed,No,Phone,5
A0000335,2026-03-01,S1066,C001240,SV05,Rescheduled,No,Online,5
A0000336,2025-10-20,S1113,C014304,SV04,Completed,Yes,Phone,21
A0000337,2025-09-27,S1040,C008387,SV01,Completed,Yes,In Store,9
A0000338,2025-04-27,S1114,C000608,SV01,Completed,No,Online,15
A0000339,2025-06-20,S1009,C015580,SV01,Completed,No,Online,19
A0000340,2026-04-14,S1015,C009552,SV05,Completed,No,In Store,12
A0000341,2026-09-10,S1108,C010580,SV01,Completed,No,Online,17
A0000342,2025-04-08,S1004,C002823,SV03,Completed,Yes,Online,19
A0000343,2025-06-14,S1065,C014819,SV01,Completed,No,Online,8
A0000344,2026-10-06,S1075,C014921,SV04,Completed,No,Online,16
A0000345,2025-09-26,S1108,C006499,SV01,Rescheduled,No,Phone,13
A0000346,2025-07-26,S1009,C019235,SV03,Completed,Yes,Online,9
A0000347,2026-01-30,S1030,C009652,SV04,Completed,Yes,Online,3
A0000348,2025-07-10,S1090,C001337,SV08,Completed,Yes,Online,0
A0000349,2026-10-04,S1027,C019281,SV01,Completed,Yes,Online,14
A0000350,2025-05-24,S1044,C011203,SV07,Rescheduled,No,Online,7
A0000351,2026-03-21,S1018,C010113,SV08,Completed,Yes,Phone,3
A0000352,2025-03-20,S1036,C003290,SV07,Completed,No,In Store,7
A0000353,2026-10-21,S1118,C003379,SV05,Completed,No,Online,20
A0000354,2025-07-03,S1032,C014960,SV02,Cancelled,No,Online,10
A0000355,2026-07-25,S1093,C014095,SV03,Completed,Yes,Phone,13
A0000356,2026-12-30,S1102,C015436,SV01,Completed,Yes,Phone,20
A0000357,2026-02-15,S1053,C019558,SV02,Completed,No,Online,3
A0000358,2025-01-18,S1115,C018912,SV01,Completed,No,In Store,7
A0000359,2025-09-26,S1060,C013511,SV01,Cancelled,No,In Store,19
A0000360,2025-12-26,S1012,C003493,SV04,Completed,No,Online,5
A0000361,2025-03-10,S1111,C004376,SV03,Completed,No,Online,21
A0000362,2025-09-16,S1016,C002574,SV02,Completed,Yes,Online,21
A0000363,2026-02-18,S1011,C009443,SV06,Completed,No,Online,6
A0000364,2026-07-23,S1089,C010223,SV01,Completed,No,Online,0
A0000365,2025-05-25,S1121,C001187,SV01,Completed,No,In Store,11
A0000366,2026-03-26,S1112,C011442,SV03,Completed,Yes,In Store,6
A0000367,2026-05-25,S1121,C000706,SV01,Completed,No,Phone,18
A0000368,2025-01-22,S1114,C018939,SV06,Completed,Yes,In Store,7
A0000369,2025-11-10,S1034,C000616,SV04,Completed,Yes,Online,1
A0000370,2025-02-28,S1107,C009556,SV05,Completed,No,In Store,1
A0000371,2026-08-29,S1107,C004118,SV05,Cancelled,No,In Store,1
A0000372,2026-04-26,S1049,C019883,SV05,Completed,No,Online,16
A0000373,2026-02-21,S1088,C006308,SV04,No-show,No,In Store,11
A0000374,2026-05-19,S1002,C007161,SV01,No-show,No,In Store,0
A0000375,2026-11-14,S1085,C014766,SV07,Completed,No,In Store,5
A0000376,2026-04-11,S1001,C011868,SV02,Completed,No,Online,4
A0000377,2025-07-15,S1040,C006375,SV01,Cancelled,No,Online,10
A0000378,2026-04-24,S1001,C005837,SV01,Completed,Yes,Phone,16
A0000379,2026-08-07,S1073,C005517,SV01,Completed,No,Phone,2
