Customer_ID,Age,Gender,Customer_Segment,NHS_Eligible
C000074,66,Male,Returning,No
C000075,32,Female,New,No
C000076,57,Male,Loyal,No
C000077,72,Male,Returning,No
C000078,53,Male,New,No
C000079,45,Female,Returning,Yes
C000080,25,Female,New,No
C000081,32,Female,Returning,No
C000082,77,Male,New,No
C000083,51,Male,New,No
C000084,35,Male,New,Yes
C000085,43,Male,New,No
C000086,53,Female,New,No
C000087,50,Female,Returning,No
C000088,61,Male,Returning,No
C000089,32,Male,Returning,No
C000090,58,Male,Returning,No
C000091,44,Female,Loyal,No
C000092,77,Female,Loyal,Yes
C000093,26,Male,Returning,No
C000094,25,Female,Returning,Yes
C000095,46,Female,Loyal,No
C000096,49,Male,Returning,Yes
C000097,60,Male,New,No
C000098,42,Male,Returning,Yes
C000099,75,Male,New,No
C000100,46,Male,Loyal,Yes
C000101,24,Female,Returning,Yes
C000102,23,Female,Loyal,Yes
C000103,79,Male,New,No
C000104,24,Female,Returning,Yes
C000105,77,Male,Returning,No
C000106,34,Male,Loyal,No
C000107,22,Female,Loyal,No
C000108,35,Female,New,Yes
C000109,55,Male,Loyal,Yes
C000110,43,Female,Loyal,No
C000111,67,Female,Loyal,No
C000112,55,Male,Returning,Yes
C000113,42,Female,Loyal,Yes
C000114,57,Female,New,No
C000115,79,Male,New,Yes
C000116,42,Male,New,No
C000117,25,Female,Returning,No
C000118,42,Male,Loyal,No
C000119,70,Male,Returning,No
C000120,30,Female,Returning,No
C000121,77,Female,Loyal,No
C000122,54,Male,Returning,No
C000123,55,Female,Returning,Yes
C000124,36,Male,Returning,No
C000125,75,Male,Returning,No
C000126,18,Female,Returning,No
C000127,35,Male,Loyal,No
C000128,43,Male,Returning,No
C000129,47,Male,Returning,No
C000130,46,Female,Returning,No
C000131,25,Male,Loyal,No
C000132,30,Female,Returning,Yes
C000133,22,Male,Loyal,Yes
C000134,53,Male,Returning,No
C000135,38,Female,New,No
C000136,52,Female,Returning,No
C000137,54,Male,New,No
C000138,61,Male,New,No
C000139,51,Female,New,No
C000140,58,Female,Returning,No
C000141,54,Male,Returning,No
C000142,58,Female,Returning,No
C000143,56,Male,Returning,Yes
C000144,36,Female,Returning,No
C000145,32,Female,Loyal,No
C000146,67,Male,Loyal,Yes
C000147,38,Female,Loyal,No
C000148,51,Male,New,Yes
C000149,28,Male,Loyal,Yes
C000150,44,Female,Loyal,Yes
C000151,50,Female,New,No
C000152,56,Female,New,Yes
C000153,50,Male,New,No
C000154,39,Male,Returning,No
C000155,78,Male,Returning,No
C000156,49,Female,New,No
C000157,68,Female,New,No
C000158,63,Female,Returning,No
C000159,52,Male,Returning,Yes
C000160,73,Female,Returning,No
C000161,24,Female,New,No
C000162,75,Female,Returning,No
C000163,71,Female,Loyal,No
C000164,48,Male,New,No
C000165,63,Male,Returning,No
C000166,49,Male,New,Yes
C000167,33,Female,New,No
C000168,67,Male,Loyal,No
C000169,31,Female,Loyal,Yes
C000170,36,Male,New,Yes
C000171,49,Male,New,Yes
C000172,70,Female,New,Yes
C000173,40,Male,Returning,No
C000174,48,Female,New,No
C000175,18,Female,Returning,Yes
C000176,23,Female,New,Yes
C000177,19,Female,Returning,No
C000178,20,Male,Loyal,Yes
C000179,72,Male,New,No
C000180,70,Male,Loyal,Yes
C000181,69,Male,Loyal,No
C000182,19,Male,New,No
C000183,21,Female,Loyal,Yes
C000184,34,Female,Returning,No
C000185,52,Female,Returning,No
C000186,37,Male,Returning,Yes
C000187,47,Male,New,No
C000188,27,Male,New,No
C000189,63,Female,Returning,No
C000190,36,Female,Returning,Yes
C000191,20,Male,Loyal,No
C000192,64,Female,Returning,Yes
C000193,74,Male,New,Yes
C000194,16,Female,New,Yes
C000195,44,Female,Loyal,No
C000196,69,Male,New,Yes
C000197,61,Male,Loyal,Yes
C000198,71,Male,New,No
C000199,42,Female,New,No
C000200,40,Female,New,No
C000201,62,Male,Returning,No
C000202,25,Male,New,Yes
C000203,31,Female,Loyal,No
C000204,55,Male,Returning,Yes
C000205,59,Female,New,Yes
C000206,23,Female,Returning,Yes
C000207,49,Male,Returning,No
C000208,39,Male,Returning,Yes
C000209,48,Female,Loyal,No
C000210,78,Female,Loyal,No
C000211,20,Male,Returning,No
C000212,80,Male,New,No
C000213,45,Male,Returning,Yes
C000214,66,Female,Returning,Yes
C000215,43,Male,Returning,Yes
C000216,36,Male,New,Yes
C000217,66,Male,New,Yes
C000218,60,Female,Loyal,Yes
C000219,25,Male,Loyal,No
C000220,61,Male,New,No
C000221,64,Male,Loyal,No
C000222,41,Male,Loyal,No
C000223,76,Male,New,Yes
C000224,57,Female,Loyal,Yes
C000225,37,Female,Loyal,No
C000226,16,Male,Returning,No
C000227,59,Female,Loyal,Yes
C000228,29,Female,New,No
C000229,65,Male,Returning,No
C000230,50,Female,Returning,No
C000231,46,Male,Returning,No
C000232,26,Female,New,Yes
C000233,62,Female,Returning,No
C000234,26,Female,Loyal,Yes
C000235,43,Male,Loyal,No
C000236,70,Male,New,Yes
C000237,75,Female,Returning,No
C000238,80,Female,New,Yes
C000239,78,Female,Returning,No
C000240,52,Male,New,No
C000241,29,Other,Loyal,No
C000242,70,Male,Returning,No
C000243,68,Female,Returning,No
C000244,80,Male,Returning,No
C000245,58,Female,New,No
C000246,25,Female,New,Yes
C000247,48,Female,New,No
C000248,45,Female,Returning,No
C000249,70,Female,Loyal,No
C000250,41,Male,New,Yes
C000251,37,Female,Loyal,No
C000252,21,Male,New,No
C000253,70,Male,New,No
C000254,65,Male,Returning,No
C000255,18,Female,Loyal,No
C000256,44,Male,Loyal,Yes
C000257,47,Female,Returning,Yes
C000258,46,Female,Returning,No
C000259,75,Female,New,No
C000260,25,Male,New,No
C000261,35,Male,Loyal,No
C000262,27,Male,Returning,No
C000263,31,Male,New,Yes
C000264,74,Male,New,Yes
C000265,77,Male,New,No
C000266,18,Male,Loyal,No
C000267,57,Female,Returning,No
C000268,31,Male,Loyal,No
C000269,28,Male,Returning,No
C000270,34,Female,Loyal,Yes
C000271,28,Female,New,No
C000272,47,Female,New,Yes
C000273,80,Male,New,No
C000274,54,Female,New,No
C000275,63,Female,Loyal,No
C000276,48,Male,Loyal,No
C000277,16,Male,New,Yes
C000278,21,Male,Returning,No
C000279,33,Male,Returning,No
C000280,31,Female,Returning,Yes
C000281,70,Female,New,No
C000282,70,Male,New,No
C000283,71,Female,New,No
C000284,57,Male,Loyal,No
C000285,52,Male,Returning,Yes
C000286,58,Male,Returning,No
C000287,42,Male,Loyal,No
C000288,59,Male,New,No
C000289,67,Male,New,No
C000290,65,Female,New,No
C000291,55,Female,Returning,No
C000292,19,Female,Returning,No
C000293,63,Male,New,No
C000294,39,Female,New,No
C000295,64,Female,Returning,No
C000296,51,Male,Returning,No
C000297,73,Female,New,Yes
C000298,37,Male,Loyal,No
C000299,76,Female,New,No
C000300,70,Female,New,Yes
C000301,37,Female,New,No
C000302,47,Female,Returning,No
C000303,50,Male,Returning,No
C000304,65,Other,Returning,Yes
C000305,60,Male,New,Yes
C000306,71,Male,Returning,Yes
C000307,40,Male,Returning,No
C000308,48,Male,Returning,No
C000309,44,Female,Returning,No
C000310,75,Female,Returning,No
C000311,35,Male,New,No
C000312,54,Male,New,No
C000313,23,Female,New,No
C000314,71,Female,Returning,No
C000315,40,Female,Returning,No
C000316,38,Female,Returning,No
C000317,53,Male,New,No
C000318,48,Female,New,No
C000319,71,Male,New,No
C000320,50,Male,New,No
C000321,49,Female,Loyal,No
C000322,22,Male,New,No
C000323,17,Male,New,No
C000324,41,Female,New,No
C000325,80,Female,New,No
C000326,75,Male,Loyal,No
C000327,56,Female,Loyal,No
C000328,57,Female,Returning,No
C000329,41,Female,New,No
C000330,27,Female,Returning,No
C000331,16,Male,Returning,Yes
C000332,38,Female,Returning,No
C000333,36,Male,New,No
C000334,28,Female,New,Yes
C000335,32,Male,New,No
C000336,17,Female,New,Yes
C000337,55,Male,Returning,Yes
C000338,76,Male,Loyal,No
C000339,60,Female,New,No
C000340,45,Male,Loyal,Yes
C000341,43,Female,New,No
C000342,35,Male,New,No
C000343,25,Male,Returning,No
C000344,54,Female,New,No
C000345,52,Female,Loyal,No
C000346,16,Female,Loyal,No
C000347,43,Male,New,No
C000348,34,Male,New,No
C000349,27,Female,New,Yes
C000350,61,Female,Loyal,No
C000351,50,Female,New,No
C000352,57,Male,Loyal,No
C000353,62,Female,New,No
C000354,79,Female,Returning,No
C000355,68,Male,New,Yes
C000356,56,Female,Loyal,No
C000357,73,Male,Returning,No
C000358,47,Female,New,No
C000359,80,Female,New,No
C000360,65,Male,Returning,No
C000361,58,Female,Returning,No
C000362,74,Female,Loyal,No
C000363,49,Male,Returning,No
C000364,62,Male,Loyal,No
C000365,34,Male,New,Yes
C000366,78,Female,Loyal,Yes
C000367,56,Female,Loyal,No
C000368,66,Female,Returning,No
C000369,45,Male,Loyal,No
C000370,72,Male,Returning,Yes
C000371,20,Male,Returning,No
C000372,23,Male,New,No
C000373,48,Female,New,No
C000374,63,Male,Returning,No
C000375,68,Female,Loyal,No
C000376,44,Female,Loyal,No
C000377,58,Male,Returning,Yes
C000378,51,Male,Loyal,No
C000379,78,Female,Loyal,No
C000380,58,Female,Loyal,Yes
C000381,43,Male,New,No
C000382,79,Female,Returning,No
C000383,22,Male,Returning,No
C000384,79,Male,Loyal,Yes
C000385,26,Female,Returning,No
C000386,34,Female,Loyal,No
C000387,69,Female,Loyal,Yes
C000388,63,Male,Returning,Yes
C000389,79,Female,Loyal,Yes
C000390,64,Male,Returning,No
C000391,57,Female,Returning,Yes
C000392,38,Male,Returning,No
C000393,16,Female,Loyal,No
C000394,24,Female,Loyal,No
C000395,35,Male,Loyal,Yes
C000396,18,Male,New,No
C000397,49,Female,Returning,No
C000398,66,Female,Loyal,No
C000399,78,Male,Loyal,No
C000400,47,Female,Loyal,No
C000401,72,Female,Returning,No
C000402,80,Female,Returning,No
C000403,71,Female,New,No
C000404,46,Male,Loyal,Yes
C000405,37,Male,New,No
C000406,79,Male,Loyal,No
C000407,31,Male,New,No
C000408,42,Female,Loyal,Yes
C000409,20,Male,Returning,No
C000410,67,Female,New,Yes
C000411,58,Female,Returning,No
C000412,21,Male,Returning,Yes
C000413,30,Female,Loyal,No
C000414,52,Female,Returning,No
C000415,51,Female,Returning,Yes
C000416,68,Male,New,No
C000417,33,Female,Loyal,No
C000418,76,Male,Loyal,No
C000419,44,Male,Loyal,No
C000420,69,Male,New,No
C000421,31,Female,Loyal,No
C000422,18,Male,New,No
C000423,19,Female,Loyal,No
C000424,40,Male,New,No
C000425,77,Male,New,No
C000426,19,Female,New,Yes
C000427,39,Male,Loyal,No
C000428,23,Female,Returning,Yes
C000429,76,Female,Returning,No
C000430,59,Female,New,Yes
C000431,65,Male,Loyal,Yes
C000432,62,Male,Returning,Yes
C000433,58,Male,New,No
C000434,66,Female,Loyal,No
C000435,16,Male,Returning,No
C000436,72,Male,Returning,No
C000437,64,Male,Returning,No
C000438,64,Female,Returning,No
C000439,41,Female,New,Yes
C000440,68,Male,Returning,No
C000441,40,Female,Returning,No
C000442,19,Female,Returning,No
C000443,75,Male,New,Yes
C000444,31,Female,New,No
C000445,22,Female,New,No
C000446,56,Female,Returning,No
C000447,31,Male,New,No
C000448,71,Male,Returning,No
C000449,44,Female,New,No
C000450,16,Female,Returning,No
C000451,77,Male,Returning,No
C000452,49,Female,New,No
C000453,33,Other,Returning,No
C000454,60,Male,Returning,No
C000455,50,Female,Loyal,Yes
C000456,17,Female,Returning,No
C000457,65,Female,New,No
C000458,42,Male,New,Yes
C000459,61,Female,Returning,No
C000460,74,Male,Loyal,No
C000461,55,Male,New,No
C000462,59,Male,New,Yes
C000463,32,Male,Returning,No
C000464,31,Female,Returning,No
C000465,42,Male,Loyal,No
C000466,71,Male,New,Yes
C000467,50,Female,Loyal,No
C000468,38,Female,Returning,No
C000469,66,Female,Loyal,Yes
C000470,71,Female,New,No
C000471,74,Male,New,No
C000472,35,Female,New,No
C000473,62,Male,Loyal,No
C000474,54,Male,New,No
C000475,45,Female,New,No
C000476,41,Male,New,No
C000477,23,Female,Loyal,Yes
C000478,33,Female,New,No
C000479,51,Female,Returning,No
C000480,73,Female,Returning,No
C000481,72,Female,Loyal,No
C000482,28,Female,Loyal,Yes
C000483,60,Female,Returning,No
C000484,21,Female,New,No
C000485,59,Male,New,No
C000486,38,Female,New,Yes
C000487,45,Male,Returning,No
C000488,62,Male,New,Yes
C000489,43,Male,Returning,No
C000490,68,Male,Returning,No
C000491,50,Male,Returning,No
C000492,80,Male,New,Yes
C000493,57,Male,Loyal,No
C000494,35,Male,Loyal,Yes
C000495,66,Female,New,Yes
C000496,42,Male,Returning,No
C000497,50,Male,Loyal,No
C000498,24,Female,Loyal,No
C000499,23,Male,Returning,No
C000500,53,Male,New,No
C000501,28,Male,Loyal,No
C000502,80,Female,Returning,No
C000503,71,Female,Returning,No
C000504,61,Female,New,Yes
C000505,63,Male,Loyal,Yes
C000506,54,Male,Returning,Yes
C000507,19,Male,Returning,No
C000508,41,Female,Returning,No
C000509,48,Female,New,No
C000510,75,Male,Returning,Yes
C000511,30,Male,Returning,No
C000512,48,Female,Returning,Yes
C000513,38,Female,Loyal,No
C000514,24,Female,Returning,No
C000515,22,Male,New,No
C000516,39,Male,New,No
C000517,21,Female,Returning,No
C000518,20,Male,New,No
C000519,38,Male,Returning,No
C000520,29,Male,Returning,Yes
C000521,52,Female,New,Yes
C000522,17,Female,New,No
C000523,35,Male,Returning,Yes
C000524,45,Male,New,No
C000525,78,Male,Returning,Yes
C000526,57,Male,New,No
C000527,73,Female,Loyal,No
C000528,38,Female,Returning,Yes
C000529,45,Female,Loyal,Yes
C000530,43,Male,Loyal,No
C000531,73,Female,Loyal,Yes
C000532,78,Male,Loyal,Yes
C000533,78,Male,New,Yes
C000534,64,Male,New,No
C000535,48,Male,Returning,No
C000536,51,Male,Returning,No
C000537,79,Female,Returning,No
C000538,34,Male,Returning,No
C000539,38,Female,New,No
C000540,74,Female,New,No
C000541,41,Male,Returning,No
C000542,31,Male,Returning,No
C000543,52,Male,Loyal,Yes
C000544,37,Female,Returning,No
C000545,73,Female,New,No
C000546,75,Male,New,Yes
C000547,35,Male,Returning,Yes
C000548,50,Female,New,Yes
C000549,79,Male,Loyal,Yes
C000550,64,Male,Returning,Yes
C000551,30,Male,Loyal,No
C000552,54,Female,Returning,No
C000553,56,Male,New,Yes
C000554,58,Female,Returning,No
C000555,17,Female,New,No
C000556,35,Female,New,No
C000557,71,Male,Returning,No
C000558,31,Male,Returning,No
C000559,35,Female,New,Yes
C000560,36,Female,Returning,Yes
C000561,27,Female,Returning,No
C000562,26,Female,New,No
C000563,38,Male,Returning,Yes
C000564,72,Female,New,No
C000565,16,Female,Returning,No
C000566,34,Other,Returning,No
C000567,19,Female,Returning,No
C000568,52,Male,Returning,Yes
C000569,32,Male,Returning,Yes
C000570,67,Male,New,Yes
C000571,54,Male,Returning,Yes
C000572,66,Female,New,No
C000573,57,Male,New,No
C000574,44,Male,Returning,No
C000575,71,Female,New,No
C000576,46,Male,Returning,No
C000577,77,Male,Returning,Yes
C000578,80,Male,Loyal,No
C000579,54,Male,Loyal,No
C000580,59,Female,Returning,No
C000581,32,Male,Loyal,No
C000582,68,Male,Returning,No
C000583,59,Male,Returning,Yes
C000584,74,Female,Loyal,Yes
C000585,33,Male,Loyal,No
C000586,67,Male,Loyal,No
C000587,46,Female,Loyal,Yes
C000588,28,Male,Returning,Yes
C000589,27,Male,Loyal,No
C000590,52,Male,Returning,No
C000591,36,Male,New,No
C000592,22,Female,New,No
C000593,43,Male,Returning,Yes
C000594,58,Male,New,Yes
C000595,36,Female,New,No
C000596,78,Female,New,No
C000597,66,Female,Returning,No
C000598,49,Male,New,Yes
C000599,76,Female,Returning,No
C000600,44,Male,Returning,No
C000601,25,Male,Loyal,Yes
C000602,18,Male,Returning,No
C000603,76,Female,New,No
C000604,78,Male,Loyal,Yes
C000605,64,Female,Loyal,Yes
C000606,22,Male,New,No
C000607,35,Female,New,No
C000608,18,Male,Returning,Yes
C000609,19,Female,Loyal,No
C000610,31,Female,Loyal,No
C000611,53,Other,Loyal,No
C000612,20,Male,Loyal,No
C000613,79,Male,Returning,No
C000614,45,Male,New,Yes
C000615,33,Female,New,Yes
C000616,49,Female,New,No
C000617,67,Male,New,No
C000618,36,Male,New,No
C000619,19,Male,Returning,No
C000620,19,Female,Loyal,Yes
C000621,71,Male,New,No
C000622,23,Female,Loyal,No
C000623,57,Male,Loyal,No
C000624,40,Male,New,No
C000625,66,Male,New,No
C000626,19,Female,Returning,No
C000627,74,Female,Loyal,Yes
C000628,61,Female,Returning,No
C000629,45,Female,New,No
C000630,29,Female,Returning,No
C000631,79,Male,Loyal,No
C000632,35,Female,New,Yes
C000633,47,Female,Returning,No
C000634,41,Male,Returning,No
C000635,30,Female,New,Yes
C000636,43,Female,Loyal,No
C000637,25,Male,New,No
C000638,16,Female,Loyal,No
C000639,34,Female,Returning,Yes
C000640,23,Male,New,No
C000641,42,Female,Returning,Yes
C000642,72,Female,New,No
C000643,26,Female,New,No
C000644,16,Female,New,Yes
C000645,23,Male,Loyal,Yes
C000646,49,Female,Loyal,No
C000647,33,Female,New,No
C000648,47,Female,Returning,Yes
C000649,17,Male,Loyal,Yes
C000650,37,Female,Returning,Yes
C000651,42,Male,New,No
C000652,44,Female,Returning,No
C000653,51,Male,Returning,Yes
C000654,66,Female,New,No
C000655,46,Female,Returning,No
C000656,70,Male,Returning,No
C000657,50,Female,Returning,No
C000658,32,Male,New,No
C000659,30,Male,Returning,No
C000660,36,Male,Returning,Yes
C000661,54,Female,Loyal,Yes
C000662,31,Male,New,Yes
C000663,75,Female,Returning,No
C000664,47,Other,Returning,No
C000665,72,Male,New,Yes
C000666,60,Male,Returning,Yes
C000667,37,Male,Returning,No
C000668,30,Male,Returning,No
C000669,64,Male,Returning,No
C000670,37,Female,Returning,No
C000671,32,Male,Returning,No
C000672,76,Female,Loyal,Yes
C000673,47,Female,Loyal,No
C000674,19,Male,Returning,No
C000675,48,Female,New,No
C000676,45,Male,Loyal,Yes
C000677,72,Female,New,No
C000678,62,Female,Returning,No
C000679,28,Male,Loyal,No
C000680,25,Female,New,No
C000681,55,Male,New,Yes
C000682,19,Male,New,No
C000683,36,Male,Loyal,Yes
C000684,24,Female,Returning,No
C000685,17,Male,Loyal,No
C000686,75,Female,New,No
C000687,21,Female,New,No
C000688,16,Female,New,No
C000689,76,Female,Loyal,No
C000690,28,Female,New,Yes
C000691,69,Female,Loyal,No
C000692,18,Female,Returning,No
C000693,25,Male,Loyal,No
C000694,23,Female,Returning,Yes
C000695,61,Female,Returning,No
C000696,56,Female,New,Yes
C000697,46,Female,Returning,Yes
C000698,31,Male,Returning,No
C000699,21,Male,New,No
C000700,52,Male,Loyal,No
C000701,30,Male,New,Yes
C000702,54,Female,New,No
C000703,60,Male,Returning,No
C000704,71,Female,Returning,No
C000705,48,Female,New,No
C000706,16,Female,Loyal,No
C000707,34,Female,New,No
C000708,71,Male,Returning,Yes
C000709,50,Female,New,No
C000710,56,Female,New,No
C000711,45,Female,Returning,No
C000712,26,Male,Loyal,No
C000713,74,Male,Returning,Yes
C000714,66,Male,New,No
C000715,80,Male,New,No
C000716,71,Male,Loyal,No
C000717,34,Female,New,Yes
C000718,32,Female,Returning,No
C000719,32,Female,New,No
C000720,75,Female,New,No
C000721,52,Male,New,No
C000722,45,Female,New,Yes
C000723,78,Female,Returning,No
C000724,55,Male,Returning,Yes
C000725,75,Female,Loyal,No
C000726,80,Female,New,No
C000727,21,Female,Returning,No
C000728,39,Male,Returning,No
C000729,63,Female,New,Yes
C000730,68,Female,New,No
C000731,25,Female,New,No
C000732,36,Male,New,No
C000733,51,Female,Returning,No
C000734,67,Female,New,No
C000735,23,Male,Returning,No
C000736,55,Male,Returning,No
C000737,35,Female,Returning,Yes
C000738,30,Female,New,No
C000739,49,Female,Returning,No
C000740,42,Male,Returning,No
C000741,57,Female,Loyal,No
C000742,36,Male,New,No
C000743,69,Male,New,No
C000744,21,Male,Loyal,No
C000745,72,Female,New,No
C000746,17,Male,New,No
C000747,63,Male,Loyal,Yes
C000748,38,Male,Returning,No
C000749,40,Female,Returning,No
C000750,17,Male,New,No
C000751,61,Male,New,No
C000752,26,Male,New,Yes
C000753,58,Male,Loyal,Yes
C000754,63,Female,Returning,Yes
C000755,70,Female,Returning,No
C000756,62,Male,Loyal,No
C000757,35,Male,Loyal,No
C000758,64,Male,New,No
C000759,69,Female,Returning,No
C000760,36,Female,Returning,No
C000761,24,Male,Loyal,No
C000762,73,Male,Loyal,No
C000763,25,Female,Returning,No
C000764,54,Female,Returning,No
C000765,31,Male,New,Yes
C000766,24,Female,Returning,No
C000767,66,Female,Returning,No
C000768,25,Female,Returning,Yes
C000769,59,Female,Returning,Yes
C000770,61,Female,Returning,No
C000771,19,Male,Returning,No
C000772,27,Male,Loyal,No
C000773,67,Male,New,Yes
C000774,48,Male,Loyal,No
C000775,23,Female,Returning,Yes
C000776,80,Female,Returning,No
C000777,33,Female,Returning,Yes
C000778,16,Female,Returning,No
C000779,76,Male,Loyal,No
C000780,17,Female,New,No
C000781,51,Male,Loyal,No
C000782,80,Female,Loyal,No
C000783,53,Female,New,Yes
C000784,54,Female,New,Yes
C000785,41,Female,New,No
C000786,24,Male,New,Yes
C000787,53,Male,New,No
C000788,74,Female,New,No
C000789,21,Male,Loyal,No
C000790,73,Male,Returning,Yes
C000791,42,Female,Loyal,No
C000792,50,Female,Returning,No
C000793,26,Female,Returning,No
C000794,56,Female,Loyal,No
C000795,27,Male,New,No
C000796,33,Female,Returning,No
C000797,62,Male,Loyal,No
C000798,19,Male,Loyal,No
C000799,45,Female,Returning,Yes
C000800,54,Male,Loyal,No
C000801,24,Female,Returning,No
C000802,35,Female,New,Yes
C000803,38,Female,New,Yes
C000804,59,Female,Returning,No
C000805,79,Female,New,No
C000806,70,Male,New,No
C000807,28,Male,New,Yes
C000808,17,Male,Loyal,No
C000809,19,Female,Loyal,Yes
C000810,54,Other,Loyal,No
C000811,26,Female,Returning,No
C000812,31,Male,Loyal,Yes
C000813,71,Male,Returning,No
C000814,72,Male,Returning,Yes
C000815,70,Female,Returning,No
C000816,32,Male,New,No
C000817,56,Male,Returning,No
C000818,55,Female,Returning,No
C000819,28,Male,Loyal,No
C000820,51,Female,New,No
C000821,50,Female,New,No
C000822,41,Male,New,No
C000823,64,Male,New,Yes
C000824,60,Female,Loyal,No
C000825,50,Female,Returning,No
C000826,63,Female,New,No
C000827,65,Female,Returning,No
C000828,52,Male,Returning,No
C000829,33,Female,New,Yes
C000830,65,Male,Returning,No
C000831,62,Female,New,No
C000832,79,Female,Returning,Yes
C000833,25,Female,Loyal,Yes
C000834,43,Female,New,Yes
C000835,76,Female,Returning,No
C000836,49,Female,Returning,No
C000837,77,Female,New,No
C000838,16,Female,Returning,No
C000839,18,Male,New,No
C000840,67,Male,New,Yes
C000841,39,Male,Returning,No
C000842,49,Female,New,No
C000843,43,Female,Returning,No
C000844,42,Female,Loyal,Yes
C000845,77,Male,Returning,No
C000846,22,Male,Loyal,No
C000847,66,Female,New,No
C000848,73,Female,Returning,No
C000849,58,Female,Returning,No
C000850,41,Female,Returning,No
C000851,26,Male,Loyal,No
C000852,60,Female,New,No
C000853,46,Female,New,Yes
C000854,25,Female,Returning,No
C000855,39,Female,Returning,No
C000856,78,Female,Loyal,Yes
C000857,33,Female,Loyal,No
C000858,27,Female,New,No
C000859,60,Female,Loyal,No
C000860,28,Male,Returning,No
C000861,75,Female,Returning,No
C000862,71,Female,New,Yes
C000863,79,Male,Loyal,No
C000864,75,Female,Returning,No
C000865,31,Male,New,Yes
C000866,29,Male,New,Yes
C000867,38,Female,Returning,Yes
C000868,46,Female,Loyal,No
C000869,73,Male,Returning,No
C000870,63,Female,Loyal,No
C000871,57,Female,Returning,No
C000872,73,Male,Returning,No
C000873,57,Female,Returning,No
C000874,40,Male,New,No
C000875,42,Male,New,No
C000876,49,Male,Returning,No
C000877,21,Male,New,No
C000878,64,Male,New,No
C000879,58,Female,New,Yes
C000880,63,Male,New,No
C000881,50,Male,New,No
C000882,66,Male,New,No
C000883,77,Male,Loyal,No
C000884,53,Male,Returning,No
C000885,44,Female,Returning,No
C000886,22,Male,New,No
C000887,66,Female,New,No
C000888,74,Female,Loyal,Yes
C000889,61,Female,Returning,No
C000890,72,Male,Loyal,Yes
C000891,71,Male,New,Yes
C000892,67,Female,Returning,No
C000893,48,Female,Returning,No
C000894,22,Female,New,No
C000895,16,Female,Loyal,No
C000896,29,Female,New,Yes
C000897,44,Male,Returning,Yes
C000898,64,Female,New,Yes
C000899,45,Female,Returning,No
C000900,17,Female,Loyal,No
C000901,29,Female,Returning,No
C000902,79,Male,Loyal,No
C000903,80,Female,New,Yes
C000904,40,Female,Loyal,No
C000905,68,Male,Returning,No
C000906,62,Female,Loyal,No
C000907,76,Male,Returning,No
C000908,73,Male,Returning,No
C000909,56,Male,Returning,No
C000910,41,Male,Loyal,No
C000911,56,Female,Loyal,No
C000912,36,Female,Returning,No
C000913,38,Female,Returning,No
C000914,55,Female,Returning,No
C000915,53,Female,New,Yes
C000916,53,Female,New,Yes
C000917,41,Female,Returning,Yes
C000918,42,Female,Returning,No
C000919,16,Male,Returning,Yes
C000920,55,Female,Returning,No
C000921,53,Female,New,No
C000922,76,Female,New,No
C000923,48,Male,New,No
C000924,46,Female,New,Yes
