Store_ID,Store_Name,City,Region,Store_Type,Store_Size
S1057,Boots Opticians - Liverpool 1057,Liverpool,North West,Retail Park,Medium
S1058,Boots Opticians - Liverpool 1058,Liverpool,North West,Retail Park,Medium
S1059,Boots Opticians - Liverpool 1059,Liverpool,North West,High Street,Large
S1060,Boots Opticians - Chester 1060,Chester,North West,High Street,Large
S1061,Boots Opticians - Chester 1061,Chester,North West,Shopping Centre,Small
S1062,Boots Opticians - Chester 1062,Chester,North West,Retail Park,Medium
S1063,Boots Opticians - Preston 1063,Preston,North West,City Centre,Medium
S1064,Boots Opticians - Preston 1064,Preston,North West,High Street,Small
S1065,Boots Opticians - Preston 1065,Preston,North West,Retail Park,Medium
S1066,Boots Opticians - Warrington 1066,Warrington,North West,Retail Park,Medium
S1067,Boots Opticians - Warrington 1067,Warrington,North West,High Street,Medium
S1068,Boots Opticians - Warrington 1068,Warrington,North West,City Centre,Large
S1069,Boots Opticians - Leeds 1069,Leeds,Yorkshire,Retail Park,Large
S1070,Boots Opticians - Leeds 1070,Leeds,Yorkshire,Shopping Centre,Medium
S1071,Boots Opticians - Leeds 1071,Leeds,Yorkshire,City Centre,Large
S1072,Boots Opticians - Sheffield 1072,Sheffield,Yorkshire,Shopping Centre,Medium
S1073,Boots Opticians - Sheffield 1073,Sheffield,Yorkshire,City Centre,Small
S1074,Boots Opticians - Sheffield 1074,Sheffield,Yorkshire,High Street,Large
S1075,Boots Opticians - York 1075,York,Yorkshire,City Centre,Large
S1076,Boots Opticians - York 1076,York,Yorkshire,City Centre,Large
S1077,Boots Opticians - York 1077,York,Yorkshire,City Centre,Large
S1078,Boots Opticians - Hull 1078,Hull,Yorkshire,Shopping Centre,Medium
S1079,Boots Opticians - Hull 1079,Hull,Yorkshire,High Street,Medium
S1080,Boots Opticians - Hull 1080,Hull,Yorkshire,Retail Park,Small
S1081,Boots Opticians - Bradford 1081,Bradford,Yorkshire,City Centre,Medium
S1082,Boots Opticians - Bradford 1082,Bradford,Yorkshire,Shopping Centre,Medium
S1083,Boots Opticians - Bradford 1083,Bradford,Yorkshire,Shopping Centre,Small
S1084,Boots Opticians - Newcastle 1084,Newcastle,North East,Shopping Centre,Large
S1085,Boots Opticians - Newcastle 1085,Newcastle,North East,Shopping Centre,Large
S1086,Boots Opticians - Newcastle 1086,Newcastle,North East,High Street,Large
S1087,Boots Opticians - Sunderland 1087,Sunderland,North East,City Centre,Small
S1088,Boots Opticians - Sunderland 1088,Sunderland,North East,Retail Park,Medium
S1089,Boots Opticians - Sunderland 1089,Sunderland,North East,Retail Park,Large
S1090,Boots Opticians - Durham 1090,Durham,North East,City Centre,Medium
S1091,Boots Opticians - Durham 1091,Durham,North East,City Centre,Large
S1092,Boots Opticians - Durham 1092,Durham,North East,Shopping Centre,Small
S1093,Boots Opticians - Middlesbrough 1093,Middlesbrough,North East,Shopping Centre,Medium
S1094,Boots Opticians - Middlesbrough 1094,Middlesbrough,North East,High Street,Medium
S1095,Boots Opticians - Middlesbrough 1095,Middlesbrough,North East,High Street,Large
S1096,Boots Opticians - Glasgow 1096,Glasgow,Scotland,Retail Park,Medium
S1097,Boots Opticians - Glasgow 1097,Glasgow,Scotland,Retail Park,Medium
S1098,Boots Opticians - Glasgow 1098,Glasgow,Scotland,City Centre,Large
S1099,Boots Opticians - Edinburgh 1099,Edinburgh,Scotland,Shopping Centre,Large
S1100,Boots Opticians - Edinburgh 1100,Edinburgh,Scotland,Shopping Centre,Small
S1101,Boots Opticians - Edinburgh 1101,Edinburgh,Scotland,Shopping Centre,Small
S1102,Boots Opticians - Aberdeen 1102,Aberdeen,Scotland,Shopping Centre,Small
S1103,Boots Opticians - Aberdeen 1103,Aberdeen,Scotland,Shopping Centre,Large
S1104,Boots Opticians - Aberdeen 1104,Aberdeen,Scotland,City Centre,Small
S1105,Boots Opticians - Dundee 1105,Dundee,Scotland,Shopping Centre,Small
S1106,Boots Opticians - Dundee 1106,Dundee,Scotland,Shopping Centre,Small
S1107,Boots Opticians - Dundee 1107,Dundee,Scotland,City Centre,Medium
S1108,Boots Opticians - Stirling 1108,Stirling,Scotland,Retail Park,Large
S1109,Boots Opticians - Stirling 1109,Stirling,Scotland,High Street,Large
S1110,Boots Opticians - Stirling 1110,Stirling,Scotland,Shopping Centre,Small
S1111,Boots Opticians - Cardiff 1111,Cardiff,Wales,High Street,Medium
S1112,Boots Opticians - Cardiff 1112,Cardiff,Wales,Retail Park,Large
S1113,Boots Opticians - Cardiff 1113,Cardiff,Wales,Retail Park,Large
S1114,Boots Opticians - Swansea 1114,Swansea,Wales,City Centre,Medium
S1115,Boots Opticians - Swansea 1115,Swansea,Wales,Retail Park,Large
S1116,Boots Opticians - Swansea 1116,Swansea,Wales,Shopping Centre,Small
S1117,Boots Opticians - Newport 1117,Newport,Wales,High Street,Small
S1118,Boots Opticians - Newport 1118,Newport,Wales,Shopping Centre,Small
S1119,Boots Opticians - Newport 1119,Newport,Wales,Retail Park,Medium
S1120,Boots Opticians - Wrexham 1120,Wrexham,Wales,Shopping Centre,Medium
S1121,Boots Opticians - Wrexham 1121,Wrexham,Wales,High Street,Medium
S1122,Boots Opticians - Wrexham 1122,Wrexham,Wales,High Street,Medium
