Sale_ID,Date,Store_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Discount_Pct,Payment_Method,Return_Flag,Gross_Revenue,Discount_Amount,Net_Revenue,Cost,Gross_Margin,Region,Category,Month_Year
T00000079,2025-09-13,S1040,C003494,P0053,2,67.22,0.05,Card,No,134.44,6.72,127.72,82.7,45.02,Midlands,Prescription Lens,2025-09
T00000080,2025-01-15,S1118,C018905,P0137,1,47.31,0.0,Card,No,47.31,0.0,47.31,25.5,21.81,Wales,Sunglasses,2025-01
T00000081,2025-05-31,S1050,C009942,P0090,1,16.62,0.0,Card,No,16.62,0.0,16.62,10.09,6.53,Midlands,Lens Care,2025-05
T00000082,2026-05-30,S1107,C003466,P0129,1,55.86,0.0,Gift Card,No,55.86,0.0,55.86,34.04,21.82,Scotland,Contact Lenses,2026-05
T00000083,2026-06-26,S1074,C013118,P0211,1,206.75,0.1,Card,No,206.75,20.68,186.07,81.32,104.75,Yorkshire,Spectacle Frame,2026-06
T00000084,2025-04-03,S1056,C011674,P0068,2,28.12,0.0,Card,No,56.24,0.0,56.24,35.45,20.79,North West,Contact Lenses,2025-04
T00000085,2026-07-21,S1055,C001407,P0226,1,155.88,0.0,Klarna,No,155.88,0.0,155.88,89.91,65.97,North West,Sunglasses,2026-07
T00000086,2025-09-25,S1073,C003001,P0050,1,15.3,0.05,Card,No,15.3,0.77,14.53,9.56,4.97,Yorkshire,Lens Care,2025-09
T00000087,2025-08-03,S1046,C016808,P0094,1,341.7,0.05,Card,No,341.7,17.08,324.62,212.71,111.91,Midlands,Prescription Lens,2025-08
T00000088,2026-11-07,S1022,C014576,P0155,1,134.06,0.05,Gift Card,No,134.06,6.7,127.36,60.06,67.3,South East,Prescription Lens,2026-11
T00000089,2026-06-04,S1097,C004432,P0056,1,348.02,0.1,Card,No,348.02,34.8,313.22,185.54,127.68,Scotland,Sunglasses,2026-06
T00000090,2025-09-29,S1001,C005628,P0236,1,297.8,0.1,Card,No,297.8,29.78,268.02,133.49,134.53,London,Sunglasses,2025-09
T00000091,2026-03-25,S1114,C002812,P0152,1,315.08,0.0,Card,No,315.08,0.0,315.08,192.27,122.81,Wales,Spectacle Frame,2026-03
T00000092,2026-07-03,S1085,C010433,P0260,1,23.72,0.0,Card,No,23.72,0.0,23.72,10.47,13.25,North East,Lens Care,2026-07
T00000093,2026-07-23,S1037,C007620,P0214,1,304.31,0.05,Card,No,304.31,15.22,289.09,157.92,131.17,South West,Prescription Lens,2026-07
T00000094,2026-08-13,S1031,C013258,P0276,1,166.79,0.0,Card,No,166.79,0.0,166.79,109.32,57.47,South West,Sunglasses,2026-08
T00000095,2026-12-02,S1052,C003873,P0222,2,315.92,0.0,Cash,No,631.84,0.0,631.84,304.87,326.97,Midlands,Spectacle Frame,2026-12
T00000096,2026-07-14,S1008,C019563,P0043,1,119.91,0.1,Card,No,119.91,11.99,107.92,46.66,61.26,London,Prescription Lens,2026-07
T00000097,2026-12-14,S1096,C017193,P0159,2,22.39,0.0,Klarna,No,44.78,0.0,44.78,19.29,25.49,Scotland,Contact Lenses,2026-12
T00000098,2026-08-03,S1020,C002648,P0081,1,160.18,0.0,Klarna,No,160.18,0.0,160.18,69.87,90.31,South East,Spectacle Frame,2026-08
T00000099,2025-04-14,S1032,C014889,P0020,1,14.81,0.0,Gift Card,No,14.81,0.0,14.81,7.82,6.99,South West,Lens Care,2025-04
T00000100,2026-03-28,S1095,C003881,P0174,2,390.8,0.1,Cash,No,781.6,78.16,703.44,420.78,282.66,North East,Prescription Lens,2026-03
T00000101,2025-11-14,S1054,C018407,P0168,1,20.08,0.0,Cash,No,20.08,0.0,20.08,12.32,7.76,North West,Contact Lenses,2025-11
T00000102,2025-05-28,S1002,C016428,P0287,1,54.69,0.0,Klarna,No,54.69,0.0,54.69,32.51,22.18,London,Sunglasses,2025-05
T00000103,2025-03-15,S1005,C009302,P0119,1,65.62,0.0,Klarna,No,65.62,0.0,65.62,32.54,33.08,London,Contact Lenses,2025-03
T00000104,2025-08-21,S1099,C010668,P0081,1,160.18,0.05,Card,Yes,160.18,8.01,152.17,90.75,61.42,Scotland,Spectacle Frame,2025-08
T00000105,2025-03-17,S1068,C013925,P0059,1,68.99,0.05,Card,No,68.99,3.45,65.54,41.04,24.5,North West,Contact Lenses,2025-03
T00000106,2025-01-24,S1043,C019801,P0136,1,117.37,0.15,Card,No,117.37,17.61,99.76,53.35,46.41,Midlands,Sunglasses,2025-01
T00000107,2026-06-23,S1019,C007087,P0064,1,318.5,0.0,Card,No,318.5,0.0,318.5,182.63,135.87,South East,Prescription Lens,2026-06
T00000108,2026-01-22,S1077,C015916,P0181,2,168.66,0.0,Card,No,337.32,0.0,337.32,202.07,135.25,Yorkshire,Spectacle Frame,2026-01
T00000109,2025-11-20,S1066,C012178,P0295,1,104.31,0.1,Card,No,104.31,10.43,93.88,59.08,34.8,North West,Prescription Lens,2025-11
T00000110,2025-03-04,S1063,C013274,P0300,1,5.72,0.05,Klarna,No,5.72,0.29,5.43,2.77,2.66,North West,Lens Care,2025-03
T00000111,2025-07-27,S1081,C017634,P0128,1,36.29,0.1,Card,No,36.29,3.63,32.66,21.52,11.14,Yorkshire,Contact Lenses,2025-07
T00000112,2026-08-04,S1121,C017712,P0240,1,7.39,0.0,Klarna,No,7.39,0.0,7.39,4.7,2.69,Wales,Lens Care,2026-08
T00000113,2025-07-16,S1010,C018139,P0260,1,23.72,0.0,Card,Yes,23.72,0.0,23.72,15.57,8.15,South East,Lens Care,2025-07
T00000114,2026-10-01,S1048,C016301,P0103,1,83.67,0.1,Klarna,No,83.67,8.37,75.3,32.34,42.96,Midlands,Prescription Lens,2026-10
T00000115,2025-09-14,S1026,C012182,P0167,1,131.89,0.0,Card,No,131.89,0.0,131.89,78.91,52.98,South West,Sunglasses,2025-09
T00000116,2025-02-01,S1055,C019793,P0041,1,95.25,0.15,Card,No,95.25,14.29,80.96,52.73,28.23,North West,Spectacle Frame,2025-02
T00000117,2025-09-09,S1021,C003719,P0223,1,150.65,0.05,Klarna,No,150.65,7.53,143.12,73.47,69.65,South East,Prescription Lens,2025-09
T00000118,2026-02-22,S1054,C006820,P0245,1,211.63,0.1,Card,No,211.63,21.16,190.47,91.19,99.28,North West,Prescription Lens,2026-02
T00000119,2026-11-19,S1044,C017717,P0145,1,128.4,0.15,Card,No,128.4,19.26,109.14,57.55,51.59,Midlands,Prescription Lens,2026-11
T00000120,2025-08-09,S1079,C012471,P0269,1,55.04,0.05,Card,No,55.04,2.75,52.29,25.37,26.92,Yorkshire,Contact Lenses,2025-08
T00000121,2025-11-10,S1004,C008142,P0259,1,50.41,0.15,Klarna,No,50.41,7.56,42.85,18.44,24.41,London,Contact Lenses,2025-11
T00000122,2025-02-20,S1076,C011489,P0055,1,153.97,0.1,Cash,No,153.97,15.4,138.57,71.14,67.43,Yorkshire,Prescription Lens,2025-02
T00000123,2026-12-18,S1041,C012127,P0234,2,276.79,0.05,Cash,No,553.58,27.68,525.9,305.64,220.26,Midlands,Prescription Lens,2026-12
T00000124,2026-08-18,S1096,C001247,P0066,1,114.56,0.05,Card,No,114.56,5.73,108.83,59.82,49.01,Scotland,Sunglasses,2026-08
T00000125,2026-02-26,S1012,C008584,P0191,1,95.82,0.0,Card,No,95.82,0.0,95.82,50.06,45.76,South East,Spectacle Frame,2026-02
T00000126,2025-01-16,S1109,C009777,P0128,1,36.29,0.0,Card,No,36.29,0.0,36.29,22.56,13.73,Scotland,Contact Lenses,2025-01
T00000127,2025-04-06,S1103,C012719,P0158,1,57.56,0.1,Klarna,No,57.56,5.76,51.8,34.09,17.71,Scotland,Contact Lenses,2025-04
T00000128,2025-12-26,S1014,C013148,P0129,1,55.86,0.15,Klarna,No,55.86,8.38,47.48,24.45,23.03,South East,Contact Lenses,2025-12
T00000129,2025-10-13,S1006,C010649,P0181,1,168.66,0.0,Card,No,168.66,0.0,168.66,71.38,97.28,London,Spectacle Frame,2025-10
T00000130,2026-01-06,S1039,C002829,P0262,1,278.19,0.1,Card,No,278.19,27.82,250.37,136.57,113.8,Midlands,Spectacle Frame,2026-01
T00000131,2025-05-03,S1065,C011527,P0046,1,300.15,0.15,Klarna,No,300.15,45.02,255.13,131.16,123.97,North West,Sunglasses,2025-05
T00000132,2025-10-31,S1024,C009018,P0194,1,218.25,0.1,Card,No,218.25,21.83,196.42,122.18,74.24,South West,Prescription Lens,2025-10
T00000133,2025-08-28,S1032,C003534,P0044,1,231.28,0.0,Klarna,No,231.28,0.0,231.28,147.3,83.98,South West,Prescription Lens,2025-08
T00000134,2026-11-25,S1093,C016439,P0135,1,218.82,0.0,Card,No,218.82,0.0,218.82,98.43,120.39,North East,Prescription Lens,2026-11
T00000135,2025-02-25,S1109,C000254,P0143,3,169.33,0.05,Card,No,507.99,25.4,482.59,232.72,249.87,Scotland,Prescription Lens,2025-02
T00000136,2026-04-01,S1064,C008082,P0048,1,62.64,0.05,Card,No,62.64,3.13,59.51,33.42,26.09,North West,Contact Lenses,2026-04
T00000137,2025-10-10,S1104,C008035,P0161,1,96.82,0.05,Klarna,No,96.82,4.84,91.98,45.83,46.15,Scotland,Spectacle Frame,2025-10
T00000138,2025-08-15,S1020,C016569,P0284,1,383.76,0.05,Klarna,No,383.76,19.19,364.57,172.16,192.41,South East,Prescription Lens,2025-08
T00000139,2026-08-01,S1111,C004404,P0126,1,197.27,0.0,Klarna,No,197.27,0.0,197.27,119.89,77.38,Wales,Sunglasses,2026-08
T00000140,2025-07-23,S1092,C014538,P0183,1,160.77,0.1,Klarna,No,160.77,16.08,144.69,80.94,63.75,North East,Prescription Lens,2025-07
T00000141,2026-12-10,S1034,C010686,P0140,1,21.49,0.1,Card,No,21.49,2.15,19.34,12.97,6.37,South West,Lens Care,2026-12
T00000142,2025-03-27,S1067,C019025,P0039,1,25.93,0.0,Card,No,25.93,0.0,25.93,13.38,12.55,North West,Contact Lenses,2025-03
T00000143,2026-10-17,S1014,C018373,P0183,1,160.77,0.1,Card,No,160.77,16.08,144.69,62.0,82.69,South East,Prescription Lens,2026-10
T00000144,2025-01-06,S1031,C009567,P0035,1,127.81,0.1,Gift Card,No,127.81,12.78,115.03,76.27,38.76,South West,Prescription Lens,2025-01
T00000145,2026-02-23,S1017,C007873,P0209,2,60.42,0.0,Cash,No,120.84,0.0,120.84,59.12,61.72,South East,Contact Lenses,2026-02
T00000146,2026-04-15,S1057,C018976,P0193,1,94.46,0.05,Klarna,No,94.46,4.72,89.74,45.53,44.21,North West,Prescription Lens,2026-04
T00000147,2025-01-30,S1070,C014083,P0226,1,155.88,0.05,Card,Yes,155.88,7.79,148.09,78.85,69.24,Yorkshire,Sunglasses,2025-01
T00000148,2025-11-19,S1117,C004812,P0254,2,164.34,0.05,Klarna,No,328.68,16.43,312.25,201.38,110.87,Wales,Prescription Lens,2025-11
T00000149,2026-02-04,S1082,C012295,P0176,1,298.53,0.05,Card,No,298.53,14.93,283.6,133.18,150.42,Yorkshire,Sunglasses,2026-02
T00000150,2025-02-02,S1035,C001907,P0069,1,71.52,0.05,Card,No,71.52,3.58,67.94,30.55,37.39,South West,Contact Lenses,2025-02
T00000151,2026-09-04,S1062,C006890,P0253,1,66.28,0.05,Card,No,66.28,3.31,62.97,27.3,35.67,North West,Prescription Lens,2026-09
T00000152,2026-11-16,S1091,C004818,P0077,1,71.34,0.05,Card,No,71.34,3.57,67.77,33.85,33.92,North East,Sunglasses,2026-11
T00000153,2026-05-26,S1084,C017112,P0032,1,302.83,0.0,Klarna,No,302.83,0.0,302.83,160.9,141.93,North East,Spectacle Frame,2026-05
T00000154,2025-08-06,S1093,C015941,P0182,1,289.69,0.0,Klarna,No,289.69,0.0,289.69,161.24,128.45,North East,Spectacle Frame,2025-08
T00000155,2026-08-11,S1054,C015126,P0184,1,258.84,0.05,Card,No,258.84,12.94,245.9,127.88,118.02,North West,Prescription Lens,2026-08
T00000156,2026-12-30,S1002,C005051,P0120,1,20.94,0.1,Klarna,No,20.94,2.09,18.85,8.77,10.08,London,Lens Care,2026-12
T00000157,2026-03-25,S1060,C012143,P0074,1,173.78,0.15,Cash,No,173.78,26.07,147.71,98.71,49.0,North West,Prescription Lens,2026-03
T00000158,2025-11-30,S1012,C003271,P0246,1,264.52,0.0,Card,No,264.52,0.0,264.52,153.41,111.11,South East,Sunglasses,2025-11
T00000159,2025-05-25,S1005,C010005,P0019,1,46.77,0.1,Cash,No,46.77,4.68,42.09,21.66,20.43,London,Contact Lenses,2025-05
T00000160,2026-09-09,S1112,C010378,P0057,1,199.96,0.05,Card,No,199.96,10.0,189.96,119.54,70.42,Wales,Sunglasses,2026-09
T00000161,2025-04-20,S1015,C002196,P0047,1,93.67,0.0,Klarna,No,93.67,0.0,93.67,41.35,52.32,South East,Sunglasses,2025-04
T00000162,2025-10-30,S1024,C013690,P0194,1,218.25,0.2,Card,No,218.25,43.65,174.6,113.63,60.97,South West,Prescription Lens,2025-10
T00000163,2026-05-12,S1107,C008999,P0033,2,59.66,0.2,Card,No,119.32,23.86,95.46,41.98,53.48,Scotland,Prescription Lens,2026-05
T00000164,2025-05-26,S1062,C008583,P0119,1,65.62,0.1,Card,No,65.62,6.56,59.06,35.1,23.96,North West,Contact Lenses,2025-05
T00000165,2026-04-22,S1069,C013615,P0021,1,265.08,0.1,Card,No,265.08,26.51,238.57,154.4,84.17,Yorkshire,Spectacle Frame,2026-04
T00000166,2026-06-18,S1111,C011832,P0226,1,155.88,0.05,Cash,No,155.88,7.79,148.09,82.21,65.88,Wales,Sunglasses,2026-06
T00000167,2025-09-16,S1002,C006405,P0190,1,13.34,0.0,Card,No,13.34,0.0,13.34,5.65,7.69,London,Lens Care,2025-09
T00000168,2026-12-07,S1111,C006842,P0221,2,232.21,0.05,Card,No,464.42,23.22,441.2,243.8,197.4,Wales,Spectacle Frame,2026-12
T00000169,2026-09-12,S1078,C017623,P0113,1,170.96,0.0,Cash,No,170.96,0.0,170.96,112.74,58.22,Yorkshire,Prescription Lens,2026-09
T00000170,2026-09-06,S1109,C001419,P0219,3,27.56,0.0,Card,No,82.68,0.0,82.68,39.0,43.68,Scotland,Contact Lenses,2026-09
T00000171,2025-05-01,S1040,C012573,P0175,1,246.53,0.0,Card,No,246.53,0.0,246.53,165.08,81.45,Midlands,Prescription Lens,2025-05
T00000172,2026-08-01,S1045,C009789,P0231,1,175.59,0.0,Cash,No,175.59,0.0,175.59,102.87,72.72,Midlands,Spectacle Frame,2026-08
T00000173,2025-11-12,S1116,C017858,P0069,1,71.52,0.0,Klarna,No,71.52,0.0,71.52,42.22,29.3,Wales,Contact Lenses,2025-11
T00000174,2025-05-10,S1027,C008020,P0057,1,199.96,0.1,Card,No,199.96,20.0,179.96,120.53,59.43,South West,Sunglasses,2025-05
T00000175,2025-11-07,S1026,C008133,P0033,1,59.66,0.0,Card,No,59.66,0.0,59.66,30.88,28.78,South West,Prescription Lens,2025-11
T00000176,2026-11-25,S1119,C002762,P0177,1,179.2,0.1,Card,No,179.2,17.92,161.28,70.9,90.38,Wales,Sunglasses,2026-11
T00000177,2025-03-09,S1007,C002507,P0102,1,435.36,0.05,Cash,No,435.36,21.77,413.59,182.78,230.81,London,Spectacle Frame,2025-03
T00000178,2026-08-18,S1106,C010490,P0179,1,62.84,0.1,Card,No,62.84,6.28,56.56,28.94,27.62,Scotland,Contact Lenses,2026-08
T00000179,2025-05-19,S1105,C006339,P0075,3,181.9,0.2,Card,No,545.7,109.14,436.56,249.65,186.91,Scotland,Prescription Lens,2025-05
T00000180,2026-11-23,S1089,C010626,P0120,1,20.94,0.0,Card,No,20.94,0.0,20.94,8.81,12.13,North East,Lens Care,2026-11
